key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.141195,0,45,45,86,1,25000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.31868,0,46,46,36,1,5000,0,36000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.970085,0,47,47,74,1,25000,0,150000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.43647,0,48,48,54,1,5000,0,150000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,0,5.15577,0,49,49,24,1,10000,0,149000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.99411,0,50,50,59,1,5000,0,151000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.235305,0,51,51,19,1,10000,0,149000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.267865,0,52,52,57,1,5000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.15163,0,53,53,56,1,5000,0,35000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.28549,0,54,54,45,1,5000,0,15000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.643535,0,55,55,49,1,5000,0,149000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.920275,0,56,56,89,1,25000,0,150000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.45952,0,57,57,27,1,10000,0,61000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.7271,0,58,58,35,1,5000,0,15000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.87152,0,59,59,69,1,25000,0,150000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.072825,0,60,60,85,1,25000,0,35000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.52056,0,61,61,65,1,25000,0,35000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.40305,0,62,62,1,1,10000,0,39000,6,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.48785,0,63,63,18,1,10000,0,110000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.682555,0,64,64,21,1,10000,0,40000,91,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.551565,0,65,65,44,1,5000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.799935,0,66,66,34,1,5000,0,151000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.94789,0,67,67,88,1,25000,0,125000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.83952,0,68,68,84,1,25000,0,150000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.50826,0,69,69,52,1,5000,0,56000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.770725,0,70,70,68,1,25000,0,125000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,6.49465,0,71,71,47,1,5000,0,56000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.15967,0,72,72,75,1,25000,0,35000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.8198,0,73,73,29,1,10000,0,151000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.42175,0,74,74,10,1,10000,0,21000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.603885,0,75,75,30,1,5000,0,16000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.23728,0,76,76,62,1,25000,0,75000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.784975,0,77,77,60,1,25000,0,35000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.4609,0,78,78,8,1,10000,0,111000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.699635,0,79,79,71,1,25000,0,55000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.259345,0,80,80,16,1,10000,0,39000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.78522,0,81,81,13,1,10000,0,111000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.06791,0,82,82,9,1,10000,0,151000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.717745,0,83,83,20,1,10000,0,20000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.40352,0,84,84,22,1,10000,0,61000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,0,5.6877,0,85,85,51,1,5000,0,35000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.55171,0,86,86,7,1,10000,0,59000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.476455,0,87,87,28,1,10000,0,109000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.80402,0,88,88,81,1,25000,0,55000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.21555,0,89,89,70,1,25000,0,35000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,space,1.660805
